Solver,Instance,Status,Runtime,Solution,Heuristic
4,1,2,0.00,651.00,896.00
4,2,2,0.02,481.00,563.00
4,3,2,0.00,96.00,110.00
4,4,2,0.00,26.00,26.00
4,5,2,0.00,25.00,25.00
4,6,2,0.03,369.00,497.00
4,7,2,0.01,187.00,211.00
4,8,2,0.04,271.00,342.00
4,9,2,0.01,395.00,515.00
4,10,2,0.00,75.00,79.00
4,11,2,0.09,562.00,611.00
4,12,2,0.01,202.00,209.00
4,13,2,0.01,198.00,203.00
4,14,2,0.00,80.00,82.00
4,15,2,0.00,168.00,202.00
4,16,2,0.00,304.00,462.00
4,17,2,0.00,22.00,22.00
4,18,2,0.00,12.00,12.00
4,19,2,0.00,121.00,123.00
4,20,2,0.00,35.00,35.00
4,21,2,0.02,726.00,954.00
4,22,2,0.01,611.00,796.00
4,23,2,0.00,51.00,51.00
4,24,2,0.00,217.00,299.00
4,25,2,0.00,78.00,78.00
4,26,2,0.00,21.00,21.00
4,27,2,0.02,983.00,1108.00
4,28,2,0.00,117.00,117.00
4,29,2,0.00,97.00,97.00
4,30,2,0.03,703.00,887.00
4,31,2,0.00,27.00,27.00
4,32,2,0.00,1046.00,1455.00
4,33,2,0.00,1377.00,1711.00
4,34,2,0.00,703.00,863.00
4,35,2,0.00,959.00,1399.00
4,36,2,0.00,160.00,287.00
4,37,2,0.00,367.00,428.00
4,38,2,0.00,437.00,491.00
4,39,2,0.00,536.00,638.00
4,40,2,0.00,2244.00,2951.00
4,41,2,0.00,478.00,610.00
4,42,2,0.01,1220.00,1496.00
4,43,2,0.01,656.00,799.00
4,44,2,0.00,159.00,181.00
4,45,2,0.01,558.00,793.00
4,46,2,0.00,452.00,491.00
4,47,2,0.06,5246.00,6678.00
4,48,2,0.05,2576.00,3672.00
4,49,2,0.02,3101.00,4362.00
4,50,2,0.01,327.00,395.00
4,51,2,0.20,4424.00,6090.00
4,52,2,0.22,3958.00,5509.00
4,53,2,0.07,812.00,973.00
4,54,2,0.11,887.00,1140.00
4,55,2,0.02,424.00,467.00
4,56,2,0.40,2628.00,3377.00
4,57,2,0.17,2095.00,2676.00
4,58,2,0.21,2373.00,2891.00
4,59,2,0.00,116.00,116.00
4,60,2,0.00,12.00,12.00
4,61,2,0.01,3184.00,4445.00
4,62,2,0.02,6984.00,10412.00
4,63,2,0.00,1476.00,2089.00
4,64,2,0.01,6180.00,8217.00
4,65,2,0.01,4730.00,6533.00
4,66,2,0.11,11335.00,16597.00
4,67,2,0.05,10807.00,13644.00
4,68,2,0.07,6160.00,9320.00
4,69,2,0.02,4258.00,5453.00
4,70,2,0.09,10230.00,13222.00
4,71,2,0.09,3988.00,5063.00
4,72,2,0.03,3673.00,5362.00
4,73,2,0.05,2811.00,3980.00
4,74,2,0.03,1575.00,1840.00
4,75,2,0.27,10777.00,16482.00
4,76,2,0.03,21515.00,31958.00
4,77,2,0.00,821.00,1052.00
4,78,2,0.01,8327.00,11438.00
4,79,2,0.02,13829.00,21917.00
4,80,2,0.04,13747.00,19543.00
4,81,2,0.00,122.00,122.00
4,82,2,0.00,23.00,23.00
4,83,2,0.03,18804.00,23502.00
4,84,2,0.01,648.00,784.00
4,85,2,0.01,3640.00,5551.00
4,86,2,0.02,2657.00,3698.00
4,87,2,0.14,2953.00,4001.00
4,88,2,0.01,5521.00,7442.00
4,89,2,0.02,19356.00,26717.00
4,90,2,0.24,11652.00,17212.00
4,91,2,0.01,1316.00,1571.00
4,92,2,0.09,3814.00,5185.00
4,93,2,0.00,312.00,324.00
4,94,2,0.12,10050.00,14729.00
4,95,2,0.08,13071.00,17772.00
4,96,2,0.48,9912.00,13923.00
4,97,2,0.26,6999.00,9916.00
4,98,2,0.87,15924.00,23676.00
4,99,2,0.20,2600.00,3690.00
4,100,2,0.12,2647.00,3726.00
4,101,2,3.21,13985.00,19689.00
4,102,2,2.21,16253.00,21742.00
4,103,2,2.07,15958.00,23010.00
4,104,2,0.00,194.00,196.00
4,105,2,1.16,4225.00,5995.00
4,106,2,0.13,38418.00,60947.00
4,107,2,0.06,7166.00,11678.00
4,108,2,0.05,2653.00,3994.00
4,109,2,0.03,11972.00,16518.00
4,110,2,0.03,15597.00,22820.00
4,111,2,0.32,49512.00,68092.00
4,112,2,0.19,28644.00,42359.00
4,113,2,0.28,25645.00,38672.00
4,114,2,0.04,8264.00,11294.00
4,115,2,0.15,43263.00,56235.00
4,116,2,0.42,6330.00,10455.00
4,117,2,1.24,29186.00,44559.00
4,118,2,0.09,4368.00,6402.00
4,119,2,0.61,25068.00,38572.00
4,120,2,0.18,5620.00,8544.00
4,121,2,0.12,76580.00,114210.00
4,122,2,0.08,62669.00,89660.00
4,123,2,0.04,38603.00,56170.00
4,124,2,0.01,5507.00,7716.00
4,125,2,0.05,32134.00,43823.00
4,126,2,0.01,3911.00,4399.00
4,127,2,0.06,17311.00,24266.00
4,128,2,0.03,6785.00,8822.00
4,129,2,0.01,11230.00,14726.00
4,130,2,0.22,41056.00,67385.00
4,131,2,0.01,3097.00,4414.00
4,132,2,0.08,20102.00,27280.00
4,133,2,0.04,3613.00,5059.00
4,134,2,0.20,72557.00,98162.00
4,135,2,0.28,11251.00,18851.00
